证券代码,证券简称,营收区域结构
000728.SZ,国元证券,公司本部:65.93%;安徽:13.64%;境外:7.52%;广东:2.79%;上海:2.57%;山东:1.89%;浙江:1.28%;北京:1.05%;辽宁:0.59%;重庆:0.45%;江苏:0.37%;湖北:0.3%;陕西省:0.29%;福建:0.28%;河南:0.28%;山西:0.19%;天津:0.16%;湖南:0.12%;江西:0.09%;四川省:0.07%;贵州:0.06%;河北省:0.03%;内蒙古:0.03%;新疆:0.02%
000729.SZ,燕京啤酒,华北:45.55%;华南:33.32%;华中:8.31%;华东:7.35%;西北:5.46%
000731.SZ,四川美丰,国内销售:98.2%;国外:1.8%
000732.SZ,泰禾集团,北京:48.32%;福建:38.3%;华东:11.02%;广深区域:2.35%
000733.SZ,振华科技,国内:99.69%;国外:0.31%
000735.SZ,罗牛山,海南:76.82%;其他业务(地区):12.19%;华南区:9.69%;其他地区:0.89%;华中区:0.4%
000736.SZ,中交地产,华东:53.25%;西南:28.44%;华北:7.67%;华南:6.64%;华中:4%
000737.SZ,ST南风,国内:77.09%;国外:21.68%;其他业务(地区):1.23%
000738.SZ,航发控制,境内:87.85%;境外:12.15%
000739.SZ,普洛药业,国内:57.81%;国外:42.01%;其他业务(地区):0.17%
000750.SZ,国海证券,总部及分公司:50.15%;子公司:38.74%;广西:12.05%;上海:0.88%;广东:0.76%;北京:0.35%;山东:0.19%;四川:0.19%;陕西:0.18%;浙江省:0.15%;云南:0.13%;湖南:0.1%;福建:0.08%;重庆:0.06%;河南:0.04%;山西:0.04%;贵州:0.03%;湖北省:0.02%;安徽省:0.01%;江苏省:0.01%;内部抵销:-4.16%
000751.SZ,锌业股份,国内:100%
000752.SZ,*ST西发,区内:100%
000753.SZ,漳州发展,漳州:76.48%;福州:21.8%;三明市:5.66%;厦门:4.96%;南平:1.08%;泉州:0.17%;内部抵销:-10.16%
000755.SZ,山西路桥,国内:100%
000756.SZ,新华制药,中国(含香港):67.32%;美洲:13.3%;欧洲:11.29%;其他-地区:8.1%
000757.SZ,浩物股份,华北:89.93%;华东:3.72%;西南:3.07%;华南:2.94%;其他业务(地区):0.33%
000758.SZ,中色股份,国外:54.84%;国内:42.53%;其他业务(地区):2.63%
000759.SZ,中百集团,湖北:98.04%;重庆:1.96%
000760.SZ,*ST斯太,中国境内:92.72%;中国境外:7.28%
